category,article
cognitive science,Emerging markets
data mining and machine learning software,Video tracking
cross-platform web browsers,Coaching
computer algebra systems,Soundtrack Pro
electronic trading platforms,Valgrind
proprietary software,WMI
insulin therapies,Sikuli
beos text editors,XFOIL
wars involving nicaragua,SAP SRM
open standards,Sonnet
statistical programming languages,Database
community building,Brokerage
france–switzerland border crossings,Apache OpenJPA
hand tools,Post-production
help desk software,Dice coefficient
web browsers,Wonderware
cardiopulmonary resuscitation,Enterprise search
style guides for american english,High performance computing
environmental law in china,IDL
terrorism in turkey,S-PLUS
national medal of technology recipients,Fiscal
organizations designated as terrorist in asia,Graphics
rich internet applications,Configuration management database
free system software,ODBC
former nationalised industries of the united kingdom,Military
systems analysis,Requirements engineering
organizational behavior,3D rendering
international information technology consulting firms,Geopak
high integrity programming language,Cartography
river morphology,Apache Attic
intelligence analysis,Certification and accreditation
adam and eve,ISO/IEC 27001:2005
unit testing,Volunteer management
thin film deposition,Statistical mechanics
brazilian styles of music,Apache Wink
conceptual art,IronPort
united states department of energy national laboratories,Microsoft Message Queuing
specification languages,Process control
leibniz association,Emptoris
distributed computing problems,Available-to-promise
commerce websites,SOAP
adobe integrated runtime platform software,Storage virtualization
simulation programming languages,CANDE
companies in the dow jones industrial average,Data loss prevention
video compression,Line management
public-domain software with source code,Adabas D
network analysis,IBM Notes
disney technology,HP SiteScope
tax reform,Good Clinical Practice
environmental law in china,PHPUnit
disaster recovery,Twitter
food safety,PPAP
magic (paranormal),Registered nurse
cryptography standards,Microsoft Project
process engineering,ISO/IEC 27001:2005
technical specifications,3D modeling
rpm-based linux distributions,.NET Remoting
member states of the european union,IBM Rational Rhapsody
operating system distributions bootable from read-only media,Transformer
load testing tools,Calibration
jet propulsion laboratory,PyGTK
erp software,AUTOSAR
video,GSLB
small business,scikit-learn
menstrual cycle,Secretary
open standards covered by patents,Jetty
byzantine hymnographers,Post-production
radiography,Aerospace
word coinage,TACACS+
discontinued microsoft development tools,AutoHotkey
regulators of biotechnology products,Engineering technologist
database security,Redis
world wide web consortium,OFCCP
electroencephalography,Computer cluster
dvd,First aid
artificial neural networks,IT management
education in dresden,Arabic
judicial remedies,Request for proposal
filename extensions,Verint
organizations,Laboratory equipment
dos software,Provisioning
text editors,Core banking
computer networking,Titration
blade weapons,Symantec Endpoint Protection
eleanor roosevelt,QEMU
color,MVVM
history of austria-hungary,Manugistics
united states department of energy national laboratories,POSIX
"ships built in lorain, ohio",JCA
educational television,MRBR
jet propulsion laboratory,MyBatis
visual effects,PDA
anti-government factions of the syrian civil war,ESA
shades of green,Named-entity recognition
application software,Mortgage servicing
ancient egyptian symbols,Xen
compiling tools,PMIS
linguistic research software,CWSP
modems,Switchboard
united states government secrecy,Purchasing management
world's fair architecture in the united states,Apache Aries
website management,Distributed computing
electromagnetic spectrum,Bomgar
terminal emulators,TDMS
brazilian styles of music,Soundtrack Pro
american alcoholic drinks,Junos
stochastic models,Purchasing management
staining,Binary trees
tax reform,SystemVerilog
automobile costs,Manifold alignment
circulating currencies,Technology integration
hypermedia,Systems analysis
sun microsystems acquisitions,SQL Azure
joyent,QuarkXPress
mechanics (trade),Microsoft BizTalk Server
misuse of statistics,Costpoint
ancient roman leisure,WordPerfect
consensus,IBM HTTP Server
printing materials,LED
"cities in santa clara county, california",DotNetNuke
microsoft software,Data loss prevention
classical mechanics,Laserfiche
database security,3G-324M
statistical natural language processing,Paradox
newspaper content,Benchmarking
navy chiefs of staff,Counseling
teradata,Integrated marketing
former nationalised industries of the united kingdom,Dynamic testing
smalltalk programming language family,Data remanence
ftp server software,Network forensics
accounting software,Embedded software
healthcare software for windows,Mortgage servicing
time series software,Visual Basic .NET
network analysis,MicroStrategy
national symbols of serbia,EMEA
political corruption,ITGC
nokia,Video tracking
ordbms software for linux,Requirements engineering
classic mac os word processors,Microsoft XNA
microelectronic and microelectromechanical systems,Cables
operating system technology,Clarizen
microkernel-based operating systems,Counterintelligence
grid computing,MIT
military communications of the united states,Microsoft Silverlight
terrorism in iraq,Sales management
postgresql,Ganglia
national health service (england),Loyalty program
object models,Central Management and Control
lithography (microfabrication),Startups
grid computing,Public relations
ac with 15 elements,Google Chrome
asanas,Discounted cumulative gain
"dutchess county, new york politicians",Software documentation
computer performance,Telecommuting
language workbench,NOMAD
educational evaluation methods,Backbone.js
mobile phone culture,IBM Rational Functional Tester
small island developing states,Debt restructuring
python-scriptable game engines,Mirth
menstrual cycle,CentOS
windows communication and services,Curriculum
search algorithms,Counterintelligence
film,YouTrack
fiber-optic communications,AUTOSAR
rna,FATCA
linux,WordPress
bigtable implementations,GPS
web browsers for android,Messaging
knights grand cross of the military william order,Government contracting
income statement,TRIRIGA
electronic trading platforms,Media planning
spokespersons,Finance
oral communication,Freebase
home economics,Server administration
science software that uses gtk+,Multi-core
internet forum software,Linear algebra
statically typed programming languages,ISO/IEC 27001:2005
